    Xpos  count
0    1.5    0.0
1    2.5    0.0
2    3.5    0.0
3    4.5    0.0
4    5.5    0.0
5    6.5    0.0
6    7.5    0.0
7    8.5    0.0
8    9.5  122.0
9   10.5   97.0
10  11.5  124.0
11  12.5  132.0
12  13.5  103.0
13  14.5   82.0
14  15.5   79.0
15  16.5   83.0
16  17.5   72.0
17  18.5   78.0
18  19.5   73.0
19  20.5   80.0
20  21.5   93.0
21  22.5   87.0
22  23.5   87.0
23  24.5   86.0
24  25.5   70.0
25  26.5   71.0
26  27.5   66.0
27  28.5   68.0
28  29.5   82.0
29  30.5   72.0
30  31.5   85.0
31  32.5   70.0
32  33.5   83.0
33  34.5   63.0
34  35.5   56.0
35  36.5   78.0
36  37.5   65.0
37  38.5   72.0
38  39.5   86.0
39  40.5   88.0
40  41.5   81.0
41  42.5   77.0
42  43.5   59.0
43  44.5   54.0
44  45.5   74.0
45  46.5   64.0
46  47.5   58.0
47  48.5   69.0
48  49.5   70.0
49  50.5   70.0
50  51.5   69.0
51  52.5   74.0
52  53.5   66.0
53  54.5   73.0
54  55.5   59.0
55  56.5   72.0
56  57.5   89.0
57  58.5   84.0
58  59.5   66.0
59  60.5   75.0
60  61.5   61.0
61  62.5   63.0
62  63.5   64.0
63  64.5   76.0
64  65.5   65.0
65  66.5   76.0
66  67.5   67.0
67  68.5   88.0
68  69.5   69.0
69  70.5   57.0
70  71.5   75.0
71  72.5   75.0
72  73.5   69.0
73  74.5   66.0
74  75.5   63.0
75  76.5   63.0
76  77.5   71.0
77  78.5   62.0
78  79.5   75.0
79  80.5   56.0
80  81.5   74.0
81  82.5   82.0
82  83.5   80.0
83  84.5   70.0
84  85.5   56.0
85  86.5   47.0
86  87.5   52.0
87  88.5   60.0
88  89.5   78.0
89  90.5   58.0
90  91.5   83.0
91  92.5   69.0
92  93.5   60.0
93  94.5   64.0
94  95.5   44.0
95  96.5   35.0
96  97.5   33.0
97  98.5   13.0
